adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/cGnaZm6EQOJESde3Vv4v53Zk4gN.jpg,"[18, 35]",626735,en,Dog,An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.,40.529,/zHQy4h36WwuCetKS7C3wcT1hkgA.jpg,2022-02-17,Dog,False,7.3,1419
False,/eE4HSxTfl8gnUcdQoUWGBIHldmL.jpg,"[16, 878, 28, 27]",1260040,en,Broken Lance,The remnants of Knight House Corvec fight for survival against the forces of Chaos while dealing with power struggles that pit their High Queen against her niece – the rightful heir.,40.502,/31PdCWyRZTNwG2PJl7UJbHtouBP.jpg,2024-03-13,Broken Lance,False,0.0,0
False,/nNbxrSyKUTMVwpnFgnKH9ZV0QZ8.jpg,"[28, 53, 80]",13387,en,Transporter 3,"Frank Martin puts the driving gloves on to deliver Valentina, the kidnapped daughter of a Ukranian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery and not let his personal feelings get in the way of his dangerous objective.",40.461,/o4w9VF3GRZuXe9NHHvZ07pJespl.jpg,2008-11-26,Transporter 3,False,6.1,3200
False,/iZ2816km53S1Qvs0w2nUOL6jpP7.jpg,"[28, 12, 878]",157350,en,Divergent,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",40.457,/aNh4Q3iuPKDMPi2SL7GgOpiLukX.jpg,2014-03-14,Divergent,False,6.9,12408
False,/8IresDDceExrC67l7MxDOcITJTm.jpg,"[16, 10749, 10751, 14]",16119,en,Cinderella III: A Twist in Time,"When Lady Tremaine steals the Fairy Godmother's wand and changes history, it's up to Cinderella to restore the timeline and reclaim her prince.",40.457,/98PHWv6TTpjxvs6EHKJVyrjuuus.jpg,2007-02-06,Cinderella III: A Twist in Time,False,6.5,1192
False,/8rStn8Axrw8ZFX2yxaTEPRFk9HU.jpg,[18],1045205,de,Irgendwann werden wir uns alles erzählen,"An adaptation of Daniela Krien’s novel, this coming-of-age story set in the 1990s, amidst the last days of the GDR. The 17-year-old protagonist, Maria, lives on a farm with her boyfriend. One day, an older man moves into the neighbourhood. Maria and Henner start a love affair, which takes a tragic turn.",40.447,/2tcpYiiLFXsFqFWkEbINwzDAXKL.jpg,2023-04-13,Someday We'll Tell Each Other Everything,False,6.1,20
False,/bmuTrxbPcr1nKCsV5YWWJi73PGR.jpg,"[28, 12, 35, 10751, 878]",12279,en,Spy Kids 3-D: Game Over,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",40.44,/oP53PyexPlQd1xDt8kkvX5LdQdT.jpg,2003-07-25,Spy Kids 3-D: Game Over,False,5.1,2116
False,/figlwUsXXFehX3IebdjqNLV6vWk.jpg,"[28, 12, 53]",628900,en,The Contractor,"After being involuntarily discharged from the U.S. Special Forces, James Harper decides to support his family by joining a private contracting organization alongside his best friend and under the command of a fellow veteran. Overseas on a covert mission, Harper must evade those trying to kill him while making his way back home.",44.733,/rJPGPZ5soaG27MK90oKpioSiJE2.jpg,2022-03-10,The Contractor,False,6.367,827
False,/94KpGOnZckDk6UQE9bThjnlDWcg.jpg,"[12, 27, 53]",9360,en,Anaconda,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",43.036,/1G3tE98K1dtsVzSgpevzboKEyXK.jpg,1997-04-11,Anaconda,False,5.181,2356
False,/8HfjrSxfTVKmjNh8cJjbu5eXzcX.jpg,"[10751, 14, 28, 12]",420808,en,Peter Pan & Wendy,"Wendy Darling, a young girl afraid to leave her childhood home behind, meets Peter Pan, a boy who refuses to grow up. Alongside her brothers and a tiny fairy, Tinker Bell, she travels with Peter to the magical world of Neverland. There, she encounters an evil pirate captain, Captain Hook, and embarks on a thrilling adventure that will change her life forever.",39.011,/9NXAlFEE7WDssbXSMgdacsUD58Y.jpg,2023-04-20,Peter Pan & Wendy,False,5.562,617
False,/pRSTtNlcADoQkfeBGtFQNE1FDpb.jpg,"[28, 53, 878]",5548,en,RoboCop,"In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.",43.027,/hHtOgGb3NihlyRATHlKPaFApbrd.jpg,1987-07-17,RoboCop,False,7.312,4805
False,/6iDQCBUSZKzY8Rnu8ECwl2gXcfG.jpg,"[18, 10402, 10749]",88,en,Dirty Dancing,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",43.014,/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,1987-08-21,Dirty Dancing,False,7.34,5873
False,/9DclZBBDxMrbcqNS81Pjz8opZTW.jpg,"[53, 27]",263472,en,Knock Knock,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",36.205,/cUC4rUb1Cs2KMaZ6RD4uYUEEwls.jpg,2015-06-26,Knock Knock,False,5.348,3014
False,/jlCMNcyqmHnsLe8AdhoTMg2kbDu.jpg,"[28, 12, 35, 80, 53]",39514,en,RED,"After surviving an assault from a squad of hit men, retired CIA black ops agent Frank Moses reassembles his old team for an all-out war. Frank reunites with old Joe, crazy Marvin and wily Victoria to uncover a massive conspiracy that threatens their lives. Only their expert training will allow them to survive a near-impossible mission -- breaking into CIA headquarters.",34.703,/8eeK3OB5PeSRQD7BpZcGZKkehG.jpg,2010-10-13,RED,False,6.694,6455
False,/5tKiuZvvV1lic7v65rdoGPmoOvf.jpg,"[28, 878, 53]",534,en,Terminator Salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",42.989,/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg,2009-05-20,Terminator Salvation,False,6.057,6206
False,/A34inrFSAIQNatFGc8qP5kfwDmV.jpg,"[28, 12, 18, 14, 16]",118412,ja,ベルセルク 黄金時代篇II ドルドレイ攻略,"The Band of the Hawk participates in the Midland war campaign. On the bloody battlefield, they conquer decisive victories that lead them to Doldrey, an old fortress that will decide the outcome of the war.",36.2,/gzVQQaDazukAcmiFx6l9WLj1kwo.jpg,2012-06-23,Berserk: The Golden Age Arc II - The Battle for Doldrey,False,7.25,390
